//    ________________________________________________________
//   /                                                        \
//   |       _           _   _   _                            |
//   |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
//   |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
//   |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
//   |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
//   |                                                        |
//   |                    brAthena Script                     |
//   |--------------------------------------------------------|
//   | Nome do Script: treasure.txt                           |
//   |--------------------------------------------------------|
//   | Criado por: eA/rA/brA Dev. Team                        |
//   |--------------------------------------------------------|
//   | Versões eA/rA/brA: 1.3/1.3/1.2                         |
//   |--------------------------------------------------------|
//   | Descrição:  Monstros das cavernas de Treasure          |
//   |--------------------------------------------------------|
//   | Changelog:                                             |
//   | 1.0 Criado Cabeçalho [Shiraz]                          |
//   | 1.1 Tradução PT-BR [Holy & Megasantos]                 |
//   | 1.2 Adicionados Monstros OldTimes [Neko]               |
//   |--------------------------------------------------------|
//   | - Anotações                                            |
//   \________________________________________________________/

//==================================================
// [Old Times] treasure01 - Navio Fantasma (1° Andar)
//==================================================
treasure01,0,0,0,0	monster#ot	Poporing	POPORING,5,0,0,1
treasure01,159,44,0,0	monster#ot	Hidra	HYDRA,1,312000,0,1
treasure01,159,45,0,0	monster#ot	Hidra	HYDRA,1,285000,0,1
treasure01,159,62,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,159,63,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,160,60,27,19	monster#ot	Esqueleto Pirata	PIRATE_SKEL,5,300000,0,1
treasure01,162,70,0,0	monster#ot	Hidra	HYDRA,1,314000,0,1
treasure01,162,71,0,0	monster#ot	Hidra	HYDRA,1,273000,0,1
treasure01,163,141,5,5	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,163,141,5,5	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure01,163,151,5,5	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,163,151,5,5	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure01,163,161,5,5	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,163,161,5,5	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure01,163,70,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,163,71,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,164,59,12,10	monster#ot	Ghostring	GHOSTRING,1,1800000,0,1
treasure01,164,59,12,10	monster#ot	Sussurro	WHISPER,10,300000,0,1
treasure01,164,70,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,164,71,0,0	monster#ot	Hidra	HYDRA,1,305000,0,1
treasure01,165,70,0,0	monster#ot	Hidra	HYDRA,1,293000,0,1
treasure01,165,71,0,0	monster#ot	Hidra	HYDRA,1,307000,0,1
treasure01,168,40,0,0	monster#ot	Hidra	HYDRA,1,322000,0,1
treasure01,168,41,0,0	monster#ot	Hidra	HYDRA,1,290000,0,1
treasure01,168,42,0,0	monster#ot	Hidra	HYDRA,1,306000,0,1
treasure01,168,43,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,168,44,0,0	monster#ot	Hidra	HYDRA,1,314000,0,1
treasure01,168,45,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,169,40,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,169,41,0,0	monster#ot	Hidra	HYDRA,1,313000,0,1
treasure01,169,42,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,169,43,0,0	monster#ot	Hidra	HYDRA,1,305000,0,1
treasure01,169,44,0,0	monster#ot	Hidra	HYDRA,1,302000,0,1
treasure01,169,45,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,21,165,5,9	monster#ot	Kukre	KUKRE,5,300000,0,1
treasure01,29,38,15,15	monster#ot	Esporo Venenoso	POISON_SPORE,3,180000,0,1
treasure01,34,112,17,11	monster#ot	Esqueleto Pirata	PIRATE_SKEL,3,180000,0,1
treasure01,48,160,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,48,161,0,0	monster#ot	Hidra	HYDRA,1,316000,0,1
treasure01,49,160,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,49,161,0,0	monster#ot	Hidra	HYDRA,1,310000,0,1
treasure01,50,160,0,0	monster#ot	Hidra	HYDRA,1,301000,0,1
treasure01,50,161,0,0	monster#ot	Hidra	HYDRA,1,308000,0,1
treasure01,51,160,0,0	monster#ot	Hidra	HYDRA,1,270000,0,1
treasure01,51,161,0,0	monster#ot	Hidra	HYDRA,1,314000,0,1
treasure01,54,154,11,9	monster#ot	Esporo Venenoso	POISON_SPORE,3,100000,0,1
treasure01,58,165,5,5	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure01,60,182,0,0	monster#ot	Hidra	HYDRA,1,313000,0,1
treasure01,67,160,0,0	monster#ot	Hidra	HYDRA,1,293000,0,1
treasure01,67,161,0,0	monster#ot	Hidra	HYDRA,1,263000,0,1
treasure01,68,160,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,68,161,0,0	monster#ot	Hidra	HYDRA,1,317000,0,1
treasure01,68,66,13,11	monster#ot	Hidra	HYDRA,4,180000,0,1
treasure01,69,160,0,0	monster#ot	Hidra	HYDRA,1,290000,0,1
treasure01,69,161,0,0	monster#ot	Hidra	HYDRA,1,305000,0,1
treasure01,69,165,5,5	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure01,70,160,0,0	monster#ot	Hidra	HYDRA,1,306000,0,1
treasure01,70,161,0,0	monster#ot	Hidra	HYDRA,1,302000,0,1
treasure01,76,182,0,0	monster#ot	Hidra	HYDRA,1,269000,0,1
treasure01,79,165,5,5	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure01,82,154,11,9	monster#ot	Esporo Venenoso	POISON_SPORE,3,100000,0,1
treasure01,86,160,0,0	monster#ot	Hidra	HYDRA,1,310000,0,1
treasure01,86,161,0,0	monster#ot	Hidra	HYDRA,1,285000,0,1
treasure01,87,160,0,0	monster#ot	Hidra	HYDRA,1,268000,0,1
treasure01,87,161,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,88,160,0,0	monster#ot	Hidra	HYDRA,1,296000,0,1
treasure01,88,161,0,0	monster#ot	Hidra	HYDRA,1,281000,0,1
treasure01,89,160,0,0	monster#ot	Hidra	HYDRA,1,305000,0,1
treasure01,89,161,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1,{}

//==================================================
// [Pré-Renovação] treasure01 - Navio Fantasma (1° Andar)
//==================================================
treasure01,0,0,0,0	monster#pre	Kukre	KUKRE,20,0,0,1
treasure01,0,0,0,0	monster#pre	Sussurro	WHISPER,5,0,0,1
treasure01,0,0,0,0	monster#pre	Sussurro	WHISPER,5,120000,60000,1
treasure01,107,39,15,15	monster#pre	Esporo Venenoso	POISON_SPORE,3,180000,90000,1
treasure01,107,39,15,15	monster#pre	Hidra	HYDRA,1,180000,90000,1
treasure01,29,38,15,15	monster#pre	Esporo Venenoso	POISON_SPORE,3,180000,90000,1
treasure01,68,66,13,11	monster#pre	Hidra	HYDRA,4,180000,90000,1
treasure01,34,112,17,11	monster#pre	Esqueleto Pirata	PIRATE_SKEL,5,180000,90000,1
treasure01,106,111,9,9	monster#pre	Esqueleto Pirata	PIRATE_SKEL,5,180000,90000,1
treasure01,106,111,9,9	monster#pre	Esqueleto Pirata	PIRATE_SKEL,5,180000,90000,1
treasure01,67,161,0,0	monster#pre	Hidra	HYDRA,1,263000,100000,1
treasure01,67,160,0,0	monster#pre	Hidra	HYDRA,1,293000,100000,1
treasure01,68,161,0,0	monster#pre	Hidra	HYDRA,1,317000,100000,1
treasure01,68,160,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,69,161,0,0	monster#pre	Hidra	HYDRA,1,305000,100000,1
treasure01,69,160,0,0	monster#pre	Hidra	HYDRA,1,290000,100000,1
treasure01,70,161,0,0	monster#pre	Hidra	HYDRA,1,302000,100000,1
treasure01,70,160,0,0	monster#pre	Hidra	HYDRA,1,306000,100000,1
treasure01,48,161,0,0	monster#pre	Hidra	HYDRA,1,316000,100000,1
treasure01,48,160,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,49,161,0,0	monster#pre	Hidra	HYDRA,1,310000,100000,1
treasure01,49,160,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,50,161,0,0	monster#pre	Hidra	HYDRA,1,308000,100000,1
treasure01,50,160,0,0	monster#pre	Hidra	HYDRA,1,301000,100000,1
treasure01,51,161,0,0	monster#pre	Hidra	HYDRA,1,314000,100000,1
treasure01,51,160,0,0	monster#pre	Hidra	HYDRA,1,270000,100000,1
treasure01,86,161,0,0	monster#pre	Hidra	HYDRA,1,285000,100000,1
treasure01,86,160,0,0	monster#pre	Hidra	HYDRA,1,310000,100000,1
treasure01,87,161,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,87,160,0,0	monster#pre	Hidra	HYDRA,1,268000,100000,1
treasure01,88,161,0,0	monster#pre	Hidra	HYDRA,1,281000,100000,1
treasure01,88,160,0,0	monster#pre	Hidra	HYDRA,1,296000,100000,1
treasure01,89,161,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,89,160,0,0	monster#pre	Hidra	HYDRA,1,305000,100000,1
treasure01,60,182,0,0	monster#pre	Hidra	HYDRA,1,313000,100000,1
treasure01,76,182,0,0	monster#pre	Hidra	HYDRA,1,269000,100000,1
treasure01,82,154,11,9	monster#pre	Esporo Venenoso	POISON_SPORE,3,100000,100000,1
treasure01,54,154,11,9	monster#pre	Esporo Venenoso	POISON_SPORE,3,100000,100000,1
treasure01,58,165,5,5	monster#pre	Esqueleto Pirata	PIRATE_SKEL,2,300000,100000,1
treasure01,69,165,5,5	monster#pre	Esqueleto Pirata	PIRATE_SKEL,2,300000,100000,1
treasure01,79,165,5,5	monster#pre	Esqueleto Pirata	PIRATE_SKEL,2,300000,100000,1
treasure01,150,162,5,5	monster#pre	Esqueleto Pirata	PIRATE_SKEL,3,300000,100000,1
treasure01,150,162,5,5	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,163,161,5,5	monster#pre	Esqueleto Pirata	PIRATE_SKEL,3,300000,100000,1
treasure01,163,161,5,5	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,163,151,5,5	monster#pre	Esqueleto Pirata	PIRATE_SKEL,3,300000,100000,1
treasure01,163,151,5,5	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,163,141,5,5	monster#pre	Esqueleto Pirata	PIRATE_SKEL,3,300000,100000,1
treasure01,163,141,5,5	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,162,71,0,0	monster#pre	Hidra	HYDRA,1,273000,100000,1
treasure01,162,70,0,0	monster#pre	Hidra	HYDRA,1,314000,100000,1
treasure01,163,71,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,163,70,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,164,71,0,0	monster#pre	Hidra	HYDRA,1,305000,100000,1
treasure01,164,70,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,165,71,0,0	monster#pre	Hidra	HYDRA,1,307000,100000,1
treasure01,165,70,0,0	monster#pre	Hidra	HYDRA,1,293000,100000,1
treasure01,164,59,12,10	monster#pre	Sussurro	WHISPER,5,300000,100000,1
treasure01,158,63,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,159,63,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,158,62,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,159,62,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,160,60,27,19	monster#pre	Esqueleto Pirata	PIRATE_SKEL,10,300000,100000,1
treasure01,158,45,0,0	monster#pre	Hidra	HYDRA,1,302000,100000,1
treasure01,158,44,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,158,43,0,0	monster#pre	Hidra	HYDRA,1,305000,100000,1
treasure01,158,42,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,158,41,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,158,40,0,0	monster#pre	Hidra	HYDRA,1,307000,100000,1
treasure01,159,45,0,0	monster#pre	Hidra	HYDRA,1,285000,100000,1
treasure01,159,44,0,0	monster#pre	Hidra	HYDRA,1,312000,100000,1
treasure01,159,43,0,0	monster#pre	Hidra	HYDRA,1,318000,100000,1
treasure01,159,42,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,159,41,0,0	monster#pre	Hidra	HYDRA,1,306000,100000,1
treasure01,159,40,0,0	monster#pre	Hidra	HYDRA,1,290000,100000,1
treasure01,168,45,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,168,44,0,0	monster#pre	Hidra	HYDRA,1,314000,100000,1
treasure01,168,43,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,168,42,0,0	monster#pre	Hidra	HYDRA,1,306000,100000,1
treasure01,168,41,0,0	monster#pre	Hidra	HYDRA,1,290000,100000,1
treasure01,168,40,0,0	monster#pre	Hidra	HYDRA,1,322000,100000,1
treasure01,169,45,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,169,44,0,0	monster#pre	Hidra	HYDRA,1,302000,100000,1
treasure01,169,43,0,0	monster#pre	Hidra	HYDRA,1,305000,100000,1
treasure01,169,42,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure01,169,41,0,0	monster#pre	Hidra	HYDRA,1,313000,100000,1
treasure01,169,40,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1,{}

//==================================================
// [Renovação] treasure01 - Navio Fantasma (1° Andar)
//==================================================
treasure01,0,0,0,0	monster#re	Esqueleto Pirata	PIRATE_SKEL,43,5000,0,0
treasure01,0,0,0,0	monster#re	Kukre	KUKRE,20,5000,0,0
treasure01,0,0,0,0	monster#re	Sussurro	WHISPER,15,5000,0,0
treasure01,0,0,0,0	monster#re	Esporo Venenoso	POISON_SPORE,12,5000,0,0
treasure01,68,66,13,11	monster#re	Hidra	HYDRA,4,180000,90000,1
treasure01,107,39,15,15	monster#re	Hidra	HYDRA,1,180000,90000,1
treasure01,67,161,0,0	monster#re	Hidra	HYDRA,1,263000,100000,1
treasure01,87,160,0,0	monster#re	Hidra	HYDRA,1,268000,100000,1
treasure01,76,182,0,0	monster#re	Hidra	HYDRA,1,269000,100000,1
treasure01,51,160,0,0	monster#re	Hidra	HYDRA,1,270000,100000,1
treasure01,162,71,0,0	monster#re	Hidra	HYDRA,1,273000,100000,1
treasure01,88,161,0,0	monster#re	Hidra	HYDRA,1,281000,100000,1
treasure01,86,161,0,0	monster#re	Hidra	HYDRA,1,285000,100000,1
treasure01,159,45,0,0	monster#re	Hidra	HYDRA,1,285000,100000,1
treasure01,69,160,0,0	monster#re	Hidra	HYDRA,1,290000,100000,1
treasure01,159,40,0,0	monster#re	Hidra	HYDRA,1,290000,100000,1
treasure01,168,41,0,0	monster#re	Hidra	HYDRA,1,290000,100000,1
treasure01,67,160,0,0	monster#re	Hidra	HYDRA,1,293000,100000,1
treasure01,165,70,0,0	monster#re	Hidra	HYDRA,1,293000,100000,1
treasure01,88,160,0,0	monster#re	Hidra	HYDRA,1,296000,100000,1
treasure01,158,62,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,159,63,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,158,63,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,164,70,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,163,70,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,159,62,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,169,42,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,169,45,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,168,43,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,168,45,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,159,42,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,169,40,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,158,41,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,158,42,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,158,44,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,163,71,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,68,160,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,49,160,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,48,160,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,87,161,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,89,161,0,0	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,150,162,5,5	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,163,161,5,5	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,163,141,5,5	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,163,151,5,5	monster#re	Hidra	HYDRA,1,300000,100000,1
treasure01,50,160,0,0	monster#re	Hidra	HYDRA,1,301000,100000,1
treasure01,169,44,0,0	monster#re	Hidra	HYDRA,1,302000,100000,1
treasure01,158,45,0,0	monster#re	Hidra	HYDRA,1,302000,100000,1
treasure01,70,161,0,0	monster#re	Hidra	HYDRA,1,302000,100000,1
treasure01,169,43,0,0	monster#re	Hidra	HYDRA,1,305000,100000,1
treasure01,158,43,0,0	monster#re	Hidra	HYDRA,1,305000,100000,1
treasure01,69,161,0,0	monster#re	Hidra	HYDRA,1,305000,100000,1
treasure01,164,71,0,0	monster#re	Hidra	HYDRA,1,305000,100000,1
treasure01,89,160,0,0	monster#re	Hidra	HYDRA,1,305000,100000,1
treasure01,168,42,0,0	monster#re	Hidra	HYDRA,1,306000,100000,1
treasure01,70,160,0,0	monster#re	Hidra	HYDRA,1,306000,100000,1
treasure01,159,41,0,0	monster#re	Hidra	HYDRA,1,306000,100000,1
treasure01,165,71,0,0	monster#re	Hidra	HYDRA,1,307000,100000,1
treasure01,158,40,0,0	monster#re	Hidra	HYDRA,1,307000,100000,1
treasure01,50,161,0,0	monster#re	Hidra	HYDRA,1,308000,100000,1
treasure01,49,161,0,0	monster#re	Hidra	HYDRA,1,310000,100000,1
treasure01,86,160,0,0	monster#re	Hidra	HYDRA,1,310000,100000,1
treasure01,159,44,0,0	monster#re	Hidra	HYDRA,1,312000,100000,1
treasure01,169,41,0,0	monster#re	Hidra	HYDRA,1,313000,100000,1
treasure01,60,182,0,0	monster#re	Hidra	HYDRA,1,313000,100000,1
treasure01,51,161,0,0	monster#re	Hidra	HYDRA,1,314000,100000,1
treasure01,168,44,0,0	monster#re	Hidra	HYDRA,1,314000,100000,1
treasure01,162,70,0,0	monster#re	Hidra	HYDRA,1,314000,100000,1
treasure01,48,161,0,0	monster#re	Hidra	HYDRA,1,316000,100000,1
treasure01,68,161,0,0	monster#re	Hidra	HYDRA,1,317000,100000,1
treasure01,159,43,0,0	monster#re	Hidra	HYDRA,1,318000,100000,1
treasure01,168,40,0,0	monster#re	Hidra	HYDRA,1,322000,100000,1,{}

//==================================================
// [Old Times] treasure02 - Navio Fantasma (2° Andar)
//==================================================
treasure02,0,0,0,0	monster#ot	Sapo Thara	THARA_FROG,10,0,0,1
treasure02,0,0,0,0	monster#ot	Kukre	KUKRE,20,0,0,1
treasure02,0,0,0,0	monster#ot	Trilobita	TRI_JOINT,5,0,0,1
treasure02,100,136,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,100,143,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,100,85,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,101,126,2,2	monster#ot	Penomena	PENOMENA,1,1200000,0,1
treasure02,101,135,2,2	monster#ot	Penomena	PENOMENA,1,60000,0,1
treasure02,101,136,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,101,143,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,101,150,15,10	monster#ot	Sussurro	WHISPER,4,200000,0,1
treasure02,101,151,10,10	monster#ot	Mimico	MIMIC,2,100000,0,1
treasure02,101,151,10,10	monster#ot	Mimico	MIMIC,3,500000,0,1
treasure02,101,151,10,10	monster#ot	Penomena	PENOMENA,4,100000,0,1
treasure02,101,151,8,8	boss_monster#ot	Drake	DRAKE,1,3600000,0,0
treasure02,101,57,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,101,85,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,102,136,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,102,143,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,102,57,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,102,68,13,13	monster#ot	Sussurro	WHISPER,2,300000,0,1
treasure02,102,80,5,5	monster#ot	Sussurro	WHISPER,1,300000,0,1
treasure02,102,85,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,102,88,5,5	monster#ot	Sussurro	WHISPER,1,300000,0,1
treasure02,103,136,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,103,143,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,103,85,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,107,57,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,108,57,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,151,138,1,1	monster#ot	Sussurro	WHISPER,1,100000,0,1
treasure02,155,43,21,13	monster#ot	Esqueleto Pirata	PIRATE_SKEL,6,300000,0,1
treasure02,157,143,1,1	monster#ot	Sussurro	WHISPER,1,100000,0,1
treasure02,164,67,1,1	monster#ot	Esporo Venenoso	POISON_SPORE,1,100000,0,1
treasure02,168,77,1,1	monster#ot	Esporo Venenoso	POISON_SPORE,1,100000,0,1
treasure02,170,71,1,1	monster#ot	Esporo Venenoso	POISON_SPORE,1,100000,0,1
treasure02,178,140,1,1	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure02,178,143,1,1	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure02,184,143,1,1	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure02,23,142,1,1	monster#ot	Marionete	MARIONETTE,1,200000,0,1
treasure02,38,74,9,9	monster#ot	Esqueleto Pirata	PIRATE_SKEL,3,300000,0,1
treasure02,45,144,1,1	monster#ot	Sussurro	WHISPER,1,200000,0,1
treasure02,48,43,23,13	monster#ot	Megalodon	MEGALODON,6,400000,0,1
treasure02,52,139,1,1	monster#ot	Sussurro	WHISPER,1,200000,0,1
treasure02,95,57,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure02,96,57,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1,{}

//==================================================
// [Pré-Renovação] treasure02 - Navio Fantasma (2° Andar)
//==================================================
treasure02,0,0,0,0	monster#pre	Ghostring	GHOSTRING,1,1980000,1200000,1
treasure02,0,0,0,0	monster#pre	Sussurro	WHISPER,5,0,0,0
treasure02,0,0,0,0	monster#pre	Andarilho	WANDER_MAN,1,600000,300000,1
treasure02,0,0,0,0	monster#pre	Penomena	PENOMENA,22,300000,120000,1
treasure02,0,0,0,0	monster#pre	Kukre	KUKRE,20,0,0,1
treasure02,0,0,0,0	monster#pre	Esqueleto Pirata	PIRATE_SKEL,5,0,0,1
treasure02,0,0,0,0	monster#pre	Mimico	MIMIC,3,0,0,1
treasure02,95,57,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure02,96,57,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure02,101,57,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure02,102,57,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure02,107,57,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure02,108,57,0,0	monster#pre	Hidra	HYDRA,1,300000,100000,1
treasure02,101,50,10,10	monster#pre	Penomena	PENOMENA,5,300000,100000,1
treasure02,102,68,13,13	monster#pre	Sussurro	WHISPER,1,300000,100000,1
treasure02,102,80,5,5	monster#pre	Sussurro	WHISPER,1,300000,100000,1
