//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Script: Turbo Track Modo Avançado - 16 Pessoas |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Versões eA/brA: 1.3/1.1                                |
// |--------------------------------------------------------|
// | Descrição:                                             |
// | Percurso da Turbo Track: Modo Avançado - 16 Pessoas    |
// |--------------------------------------------------------|
// | Changelog:                                             |
// | 1.0 Script Traduzido [Boomer]                          |
// | 1.1 Script Otimizado [Mark]    	                    |
// | - Anotações                                            |
// \________________________________________________________/

turbo_room,124,135,3	duplicate(ChatTrack)	Modo Avançado - 16 Pess	124
turbo_e_16,158,362,0	duplicate(TurboLogRace)	trap_c#e_16-24	-1,1,4
turbo_e_16,154,360,0	duplicate(TurboLogRace)	trap_c#e_16-25	-1,2,2
turbo_e_16,161,360,0	duplicate(TurboLogRace)	trap_c#e_16-26	-1,1,2
turbo_e_16,161,365,0	duplicate(TurboLogRace)	trap_c#e_16-27	-1,1,0
turbo_e_16,160,366,0	duplicate(TurboLogRace)	trap_c#e_16-28	-1
//fourth line
turbo_e_16,79,353,0	duplicate(TurboLogRace)	trap_d#e_16-1	-1,5,2
turbo_e_16,85,354,0	duplicate(TurboLogRace)	trap_d#e_16-2	-1,0,1
turbo_e_16,99,353,0	duplicate(TurboLogRace)	trap_d#e_16-3	-1,14,0
turbo_e_16,99,352,0	duplicate(TurboLogRace)	trap_d#e_16-4	-1,14,0
turbo_e_16,99,356,0	duplicate(TurboLogRace)	trap_d#e_16-5	-1,3,3
turbo_e_16,103,356,0	duplicate(TurboLogRace)	trap_d#e_16-6	-1,0,3
turbo_e_16,108,354,0	duplicate(TurboLogRace)	trap_d#e_16-7	-1,5,1
turbo_e_16,112,356,0	duplicate(TurboLogRace)	trap_d#e_16-8	-1,0,1
turbo_e_16,113,356,0	duplicate(TurboLogRace)	trap_d#e_16-9	-1,0,1
turbo_e_16,123,353,0	duplicate(TurboLogRace)	trap_d#e_16-10	-1,3,2
turbo_e_16,127,353,0	duplicate(TurboLogRace)	trap_d#e_16-11	-1,0,2
turbo_e_16,145,352,0	duplicate(TurboLogRace)	trap_d#e_16-12	-1,17,1
turbo_e_16,152,354,0	duplicate(TurboLogRace)	trap_d#e_16-13	-1,10,1
turbo_e_16,145,357,0	duplicate(TurboLogRace)	trap_d#e_16-14	-1,1,2
turbo_e_16,148,357,0	duplicate(TurboLogRace)	trap_d#e_16-15	-1,1,2

// Turbo Track:(Sand Hill)
turbo_e_16,322,354,0	duplicate(TurboSandHill)	#TBT_trap_e16-1	-1,3,3
turbo_e_16,323,360,0	duplicate(TurboSandHill)	#TBT_trap_e16-2	-1,3,3
turbo_e_16,324,365,0	duplicate(TurboSandHill)	#TBT_trap_e16-3	-1,1,1
turbo_e_16,325,370,0	duplicate(TurboSandHill)	#TBT_trap_e16-4	-1,3,3
turbo_e_16,325,375,0	duplicate(TurboSandHill)	#TBT_trap_e16-5	-1,1,1
turbo_e_16,329,377,0	duplicate(TurboSandHill)	#TBT_trap_e16-6	-1,3,3
turbo_e_16,338,372,0	duplicate(TurboSandHill)	#TBT_trap_e16-7	-1,3,3
turbo_e_16,341,364,0	duplicate(TurboSandHill)	#TBT_trap_e16-8	-1,3,3
turbo_e_16,325,359,0	duplicate(TurboSandHill)	#TBT_trap_e16-9	-1,2,2
turbo_e_16,341,355,0	duplicate(TurboSandHill)	#TBT_trap_e16-10	-1,1,1
turbo_e_16,350,355,0	duplicate(TurboSandHill)	#TBT_trap_e16-11	-1,3,3
turbo_e_16,348,363,0	duplicate(TurboSandHill)	#TBT_trap_e16-12	-1,1,1
turbo_e_16,347,370,0	duplicate(TurboSandHill)	#TBT_trap_e16-13	-1,2,2
turbo_e_16,349,377,0	duplicate(TurboSandHill)	#TBT_trap_e16-14	-1,9,9
turbo_e_16,362,372,0	duplicate(TurboSandHill)	#TBT_trap_e16-15	-1,3,3
turbo_e_16,364,365,0	duplicate(TurboSandHill)	#TBT_trap_e16-16	-1,1,1
turbo_e_16,363,357,0	duplicate(TurboSandHill)	#TBT_trap_e16-17	-1,3,3
turbo_e_16,374,358,0	duplicate(TurboSandHill)	#TBT_trap_e16-18	-1,2,2
turbo_e_16,371,367,0	duplicate(TurboSandHill)	#TBT_trap_e16-19	-1,3,3
turbo_e_16,371,376,0	duplicate(TurboSandHill)	#TBT_trap_e16-20	-1,1,1
turbo_e_16,379,375,0	duplicate(TurboSandHill)	#TBT_trap_e16-21	-1,3,3
turbo_e_16,382,363,0	duplicate(TurboSandHill)	#TBT_trap_e16-22	-1,2,2
turbo_e_16,381,354,0	duplicate(TurboSandHill)	#TBT_trap_e16-23	-1,1,1
turbo_e_16,355,362,0	duplicate(SandHillTrap24)	#TBT_trap_e16-24	-1,3,3

// Turbo Track: (Water Maze)
turbo_e_16,13,266,0	duplicate(TurboWaterMaze)	flasher#e_16-01	-1,0,2
turbo_e_16,24,268,0	duplicate(TurboWaterMaze)	flasher#e_16-02	-1,1,0
turbo_e_16,20,258,0	duplicate(TurboWaterMaze)	flasher#e_16-03	-1,1,0
turbo_e_16,23,251,0	duplicate(TurboWaterMaze)	flasher#e_16-04	-1,0,1
turbo_e_16,36,270,0	duplicate(TurboWaterMaze)	flasher#e_16-05	-1,1,0
turbo_e_16,22,239,0	duplicate(TurboWaterMaze)	flasher#e_16-06	-1,1,0
turbo_e_16,38,239,0	duplicate(TurboWaterMaze)	flasher#e_16-07	-1,0,1
turbo_e_16,37,237,0	duplicate(TurboWaterMaze)	flasher#e_16-08	-1,1,0
turbo_e_16,55,247,0	duplicate(TurboWaterMaze)	flasher#e_16-09	-1,0,1
turbo_e_16,55,246,0	duplicate(TurboWaterMaze)	flasher#e_16-10	-1,1,0
turbo_e_16,63,253,0	duplicate(TurboWaterMaze)	flasher#e_16-11	-1,0,1
turbo_e_16,36,216,0	duplicate(TurboWaterMaze)	flasher#e_16-12	-1,1,0
turbo_e_16,20,209,0	duplicate(TurboWaterMaze)	flasher#e_16-13	-1,1,0
turbo_e_16,28,195,0	duplicate(TurboWaterMaze)	flasher#e_16-14	-1,1,0
turbo_e_16,82,264,0	duplicate(TurboWaterMaze)	flasher#e_16-15	-1,1,0
turbo_e_16,47,185,0	duplicate(TurboWaterMaze)	flasher#e_16-16	-1,0,1
turbo_e_16,53,207,0	duplicate(TurboWaterMaze)	flasher#e_16-17	-1,1,0
turbo_e_16,54,208,0	duplicate(TurboWaterMaze)	flasher#e_16-18	-1,0,1
turbo_e_16,81,247,0	duplicate(TurboWaterMaze)	flasher#e_16-19	-1,0,1
turbo_e_16,105,257,0	duplicate(TurboWaterMaze)	flasher#e_16-20	-1,0,1
turbo_e_16,95,242,0	duplicate(TurboWaterMaze)	flasher#e_16-21	-1,0,1
turbo_e_16,77,232,0	duplicate(TurboWaterMaze)	flasher#e_16-22	-1,2,0
turbo_e_16,67,222,0	duplicate(TurboWaterMaze)	flasher#e_16-23	-1,2,0
turbo_e_16,83,206,0	duplicate(TurboWaterMaze)	flasher#e_16-24	-1,0,1
turbo_e_16,95,224,0	duplicate(TurboWaterMaze)	flasher#e_16-25	-1,0,1
turbo_e_16,106,220,0	duplicate(TurboWaterMaze)	flasher#e_16-26	-1,2,0
turbo_e_16,93,191,0	duplicate(TurboWaterMaze)	flasher#e_16-27	-1,1,0
turbo_e_16,94,192,0	duplicate(TurboWaterMaze)	flasher#e_16-28a	-1,0,1
turbo_e_16,46,214,0	duplicate(TurboWaterMaze)	flasher#e_16-28b	-1,0,1
turbo_e_16,16,247,0	duplicate(TurboWaterMaze)	flasher#e_16-29	-1,1,0
turbo_e_16,58,268,0	duplicate(TurboWaterMaze)	flasher#e_16-30	-1,1,1
turbo_e_16,36,253,0	duplicate(TurboWaterMaze)	flasher#e_16-31	-1,1,0
turbo_e_16,69,238,0	duplicate(TurboWaterMaze)	flasher#e_16-32	-1,1,1
turbo_e_16,58,268,0	duplicate(TurboWaterMaze)	flasher#e_16-33	-1,1,1
turbo_e_16,74,188,0	duplicate(TurboWaterMaze)	flasher#e_16-34	-1,2,0
turbo_e_16,99,207,0	duplicate(TurboWaterMaze)	flasher#e_16-35	-1,1,1
turbo_e_16,74,188,0	duplicate(TurboWaterMaze)	flasher#e_16-36	-1,2,0
turbo_e_16,111,188,0	duplicate(TurboWaterMaze)	flasher#e_16-37a	-1,1,0
turbo_e_16,51,232,0	duplicate(TurboWaterMaze)	flasher#e_16-37b	-1,1,1
turbo_e_16,30,232,0	duplicate(TurboWaterMaze)	flasher#e_16-38	-1,1,1
turbo_e_16,92,256,0	duplicate(TurboWaterMaze)	flasher#e_16-39	-1,1,1
turbo_e_16,79,220,0	duplicate(TurboWaterMaze)	flasher#e_16-40	-1,1,1
turbo_e_16,51,192,0	duplicate(TurboWaterMaze)	flasher#e_16-41	-1,1,1
turbo_e_16,22,227,0	duplicate(TurboWaterMaze)	flasher#e_16-42	-1,1,1
turbo_e_16,51,232,0	duplicate(TurboWaterMaze)	flasher#e_16-43	-1,1,1
turbo_e_16,42,258,0	duplicate(TurboWaterMaze)	flasher#e_16-44	-1,1,0
turbo_e_16,45,271,0	duplicate(TurboWaterMaze)	flasher#e_16-45	-1,2,1
turbo_e_16,72,207,0	duplicate(TurboWaterMaze)	flasher#e_16-46	-1,1,1
turbo_e_16,33,192,0	duplicate(TurboWaterMaze)	flasher#e_16-47	-1,0,1
turbo_e_16,90,241,0	duplicate(TurboWaterMaze)	flasher#e_16-48a	-1,1,0
turbo_e_16,236,3,0	duplicate(TurboWaterMaze)	flasher#e_16-48b	-1,3,0

turbo_e_16,324,279,0	duplicate(SnakeTrack01)	snake01#e16	45,1,1
turbo_e_16,332,279,0	duplicate(SnakeTrack02)	snake02#e16	45,1,1
turbo_e_16,324,270,0	duplicate(SnakeTrack03)	snake03#e16	45,1,1
turbo_e_16,332,270,0	duplicate(SnakeTrack04)	snake04#e16	45,1,1

//monsters
turbo_e_16,389,288,0	duplicate(SnakeTrack)	snake#e16	111
turbo_e_16,90,46,0	duplicate(HuntingTrack)	hunting#e16	111

turbo_e_16,179,55,0	duplicate(TurboHint_1)	#e16Intersectiona	-1,1,1
turbo_e_16,184,45,0	duplicate(TurboHint_1)	#e16Intersectionb	-1,1,1
turbo_e_16,181,30,0	duplicate(TurboHint_1)	#e16Intersectionc	-1,1,1
turbo_e_16,186,28,0	duplicate(TurboHint_1)	#e16Intersectiond	-1,1,1
turbo_e_16,183,19,0	duplicate(TurboHint_1)	#e16Intersectione	-1,1,1
turbo_e_16,191,37,0	duplicate(TurboHint_1)	#e16Intersectionf	-1,1,1
turbo_e_16,173,25,0	duplicate(TurboHint_1)	#e16Intersectiong	-1,1,1
turbo_e_16,201,21,0	duplicate(TurboHint_1)	#e16Intersectionh	-1,1,1
turbo_e_16,222,21,0	duplicate(TurboHint_1)	#e16Intersectioni	-1,1,1
turbo_e_16,214,39,0	duplicate(TurboHint_1)	#e16Intersectionj	-1,1,1
turbo_e_16,222,48,0	duplicate(TurboHint_1)	#e16Intersectionk	-1,1,1
turbo_e_16,214,60,0	duplicate(TurboHint_1)	#e16Intersectionl	-1,1,1
turbo_e_16,209,61,0	duplicate(TurboHint_1)	#e16Intersectionm	-1,1,1
turbo_e_16,208,56,0	duplicate(TurboHint_1)	#e16Intersectionn	-1,1,1

turbo_e_16,178,63,0	duplicate(TurboHint_2)	#e16CorrectPath1	-1,1,1
turbo_e_16,182,40,0	duplicate(TurboHint_2)	#e16CorrectPath2	-1,1,1
turbo_e_16,176,29,0	duplicate(TurboHint_2)	#e16CorrectPath3	-1,1,1
turbo_e_16,180,25,0	duplicate(TurboHint_2)	#e16CorrectPath4	-1,1,1
turbo_e_16,201,157,0	duplicate(TurboHint_2)	#e16CorrectPath5	-1,1,1
turbo_e_16,203,65,0	duplicate(TurboHint_2)	#e16CorrectPath6	-1,1,1
turbo_e_16,208,52,0	duplicate(TurboHint_2)	#e16CorrectPath7	-1,1,1
turbo_e_16,208,26,0	duplicate(TurboHint_2)	#e16CorrectPath8	-1,1,1
turbo_e_16,191,30,0	duplicate(TurboHint_2)	#e16CorrectPath9	-1,1,1

turbo_e_16,187,55,0	duplicate(TurboHint_3)	#e16NoWayOut1	-1,1,1
turbo_e_16,176,45,0	duplicate(TurboHint_3)	#e16NoWayOut2	-1,1,1
turbo_e_16,222,26,0	duplicate(TurboHint_3)	#e16NoWayOut3	-1,1,1
turbo_e_16,219,39,0	duplicate(TurboHint_3)	#e16NoWayOut4	-1,1,1
turbo_e_16,222,45,0	duplicate(TurboHint_3)	#e16NoWayOut5	-1,1,1
turbo_e_16,222,61,0	duplicate(TurboHint_3)	#e16NoWayOut6	-1,1,1
turbo_e_16,222,65,0	duplicate(TurboHint_3)	#e16NoWayOut7	-1,1,1

// Turbo Track: (Course-clear broadcasters, and exits?)
turbo_e_16,168,363,0	duplicate(cos1track)	cos_e_16_1	45,1,1
turbo_e_16,258,364,0	duplicate(cos2track)	cos_e_16_2	45,1,1
turbo_e_16,316,365,0	duplicate(dispoTrack)	Disposable_Switch#e16	-1,1,1
turbo_e_16,385,365,0	duplicate(cos3track)	cos_e_16_3	45,1,1

turbo_e_16,11,266,0	duplicate(flashexitTrack)	Flasher_Exit_1#e16	45,1,1
turbo_e_16,114,190,0	duplicate(flashexitTrack)	Flasher_Exit_2#e16	45,1,1

turbo_e_16,250,200,0	duplicate(cos5track)	cos_e_16_5	45,1,1
turbo_e_16,389,275,0	duplicate(cos6track)	cos_e_16_6	45,1,1
turbo_e_16,93,19,0	duplicate(cos7track)	cos_e_16_7	45,1,1
turbo_e_16,371,47,0	duplicate(cosendtrack)	cos_e_16_end	45,1,1

turbo_e_16,384,167,1	duplicate(AuxVendTrack)	Auxiliar do Vencedor#Te16	47

turbo_e_16,11,91,0	duplicate(Notice01T)	Notice_Maker1#TBT_e_16	-1,3,3
turbo_e_16,234,223,0	duplicate(Notice03T)	Notice_Maker3#TBT_e_16	-1,2,2
turbo_e_16,226,15,0	duplicate(Notice04T)	Notice_Maker4#TBT_e_16	-1,1,1

turbo_e_16,227,379,0	duplicate(WarpTrack1)	Warp#e_16_1	-1,1,1
turbo_e_16,237,380,0	duplicate(WarpTrack1)	Warp#e_16_2	-1,1,1
turbo_e_16,227,367,0	duplicate(WarpTrack1)	Warp#e_16_3	-1,1,1
turbo_e_16,231,360,0	duplicate(WarpTrack1)	Warp#e_16_4	-1,1,1
turbo_e_16,225,349,0	duplicate(WarpTrack1)	Warp#e_16_5	-1,1,1
turbo_e_16,249,352,0	duplicate(WarpTrack1)	Warp#e_16_6	-1,1,1
turbo_e_16,253,364,0	duplicate(WarpTrack1)	Warp#e_16_7	-1,2,2

turbo_e_16,307,55,0	duplicate(TurboTrap)	trap_e16#F1	139,1,1
turbo_e_16,307,51,0	duplicate(TurboTrap)	trap_e16#F2	139,1,1
turbo_e_16,307,47,0	duplicate(TurboTrap)	trap_e16#F3	139,1,1
turbo_e_16,307,43,0	duplicate(TurboTrap)	trap_e16#F4	139,1,1
turbo_e_16,307,39,0	duplicate(TurboTrap)	trap_e16#F5	139,1,1
turbo_e_16,307,39,0	duplicate(TurboTrap)	trap_e16#F96	139,1,1
turbo_e_16,312,56,0	duplicate(TurboTrap)	trap_e16#F6	139,1,1
turbo_e_16,312,52,0	duplicate(TurboTrap)	trap_e16#F7	139,1,1
turbo_e_16,312,48,0	duplicate(TurboTrap)	trap_e16#F8	139,1,1
turbo_e_16,312,44,0	duplicate(TurboTrap)	trap_e16#F9	139,1,1
turbo_e_16,312,40,0	duplicate(TurboTrap)	trap_e16#F10	139,1,1
turbo_e_16,312,36,0	duplicate(TurboTrap)	trap_e16#F11	139,1,1
turbo_e_16,316,55,0	duplicate(TurboTrap)	trap_e16#F12	139,1,1
turbo_e_16,316,51,0	duplicate(TurboTrap)	trap_e16#F13	139,1,1
turbo_e_16,316,47,0	duplicate(TurboTrap)	trap_e16#F14	139,1,1
turbo_e_16,316,43,0	duplicate(TurboTrap)	trap_e16#F15	139,1,1
turbo_e_16,316,39,0	duplicate(TurboTrap)	trap_e16#F16	139,1,1
turbo_e_16,316,36,0	duplicate(TurboTrap)	trap_e16#F17	139,1,1
turbo_e_16,320,56,0	duplicate(TurboTrap)	trap_e16#F18	139,1,1
turbo_e_16,320,52,0	duplicate(TurboTrap)	trap_e16#F19	139,1,1
turbo_e_16,320,48,0	duplicate(TurboTrap)	trap_e16#F20	139,1,1
turbo_e_16,320,44,0	duplicate(TurboTrap)	trap_e16#F21	139,1,1
turbo_e_16,320,40,0	duplicate(TurboTrap)	trap_e16#F22	139,1,1
turbo_e_16,320,36,0	duplicate(TurboTrap)	trap_e16#F23	139,1,1
turbo_e_16,324,55,0	duplicate(TurboTrap)	trap_e16#F24	139,1,1
turbo_e_16,324,51,0	duplicate(TurboTrap)	trap_e16#F25	139,1,1
turbo_e_16,324,47,0	duplicate(TurboTrap)	trap_e16#F26	139,1,1
turbo_e_16,324,43,0	duplicate(TurboTrap)	trap_e16#F27	139,1,1
turbo_e_16,324,39,0	duplicate(TurboTrap)	trap_e16#F28	139,1,1
turbo_e_16,324,36,0	duplicate(TurboTrap)	trap_e16#F29	139,1,1
turbo_e_16,328,56,0	duplicate(TurboTrap)	trap_e16#F30	139,1,1
turbo_e_16,328,52,0	duplicate(TurboTrap)	trap_e16#F31	139,1,1
turbo_e_16,328,48,0	duplicate(TurboTrap)	trap_e16#F32	139,1,1
turbo_e_16,328,44,0	duplicate(TurboTrap)	trap_e16#F33	139,1,1
turbo_e_16,328,40,0	duplicate(TurboTrap)	trap_e16#F34	139,1,1
turbo_e_16,328,36,0	duplicate(TurboTrap)	trap_e16#F35	139,1,1
turbo_e_16,332,55,0	duplicate(TurboTrap)	trap_e16#F36	139,1,1
turbo_e_16,332,51,0	duplicate(TurboTrap)	trap_e16#F37	139,1,1
turbo_e_16,332,47,0	duplicate(TurboTrap)	trap_e16#F38	139,1,1
turbo_e_16,332,43,0	duplicate(TurboTrap)	trap_e16#F39	139,1,1
turbo_e_16,332,39,0	duplicate(TurboTrap)	trap_e16#F40	139,1,1
turbo_e_16,332,36,0	duplicate(TurboTrap)	trap_e16#F41	139,1,1

turbo_e_16,336,56,0	duplicate(TurboTrap02)	trap_e16#F42	-1,1,1
turbo_e_16,336,52,0	duplicate(TurboTrap02)	trap_e16#F43	139,1,1
turbo_e_16,336,48,0	duplicate(TurboTrap02)	trap_e16#F44	139,1,1
turbo_e_16,336,44,0	duplicate(TurboTrap02)	trap_e16#F45	139,1,1
turbo_e_16,336,50,0	duplicate(TurboTrap02)	trap_e16#F46	139,1,1
turbo_e_16,336,36,0	duplicate(TurboTrap02)	trap_e16#F47	139,1,1
turbo_e_16,340,55,0	duplicate(TurboTrap02)	trap_e16#F48	139,1,1


turbo_e_16,340,51,0	duplicate(TurboTrap)	trap_e16#F49	139,1,1
turbo_e_16,340,47,0	duplicate(TurboTrap)	trap_e16#F50	139,1,1
turbo_e_16,340,43,0	duplicate(TurboTrap)	trap_e16#F51	139,1,1
turbo_e_16,340,39,0	duplicate(TurboTrap)	trap_e16#F52	139,1,1
turbo_e_16,340,36,0	duplicate(TurboTrap)	trap_e16#F53	139,1,1
turbo_e_16,344,56,0	duplicate(TurboTrap)	trap_e16#F54	139,1,1
turbo_e_16,344,52,0	duplicate(TurboTrap)	trap_e16#F55	139,1,1
turbo_e_16,344,48,0	duplicate(TurboTrap)	trap_e16#F56	139,1,1
turbo_e_16,344,44,0	duplicate(TurboTrap)	trap_e16#F57	139,1,1
turbo_e_16,344,40,0	duplicate(TurboTrap)	trap_e16#F58	139,1,1
turbo_e_16,344,36,0	duplicate(TurboTrap)	trap_e16#F59	139,1,1
turbo_e_16,348,55,0	duplicate(TurboTrap)	trap_e16#F60	139,1,1
turbo_e_16,348,51,0	duplicate(TurboTrap)	trap_e16#F61	139,1,1
turbo_e_16,348,47,0	duplicate(TurboTrap)	trap_e16#F62	139,1,1
turbo_e_16,348,43,0	duplicate(TurboTrap)	trap_e16#F63	139,1,1
turbo_e_16,348,39,0	duplicate(TurboTrap)	trap_e16#F64	139,1,1
turbo_e_16,348,36,0	duplicate(TurboTrap)	trap_e16#F65	139,1,1
turbo_e_16,352,56,0	duplicate(TurboTrap)	trap_e16#F66	139,1,1
turbo_e_16,352,52,0	duplicate(TurboTrap)	trap_e16#F67	139,1,1
